lon,lat,alt,distance_from_start_km,distance_from_start_mi,cumulative_distance_mi
-77.96311,34.64452,0,0.007214096,0.004482839,33.38815265
-77.96908,34.66075,0,1.885503018,1.171651575,34.55980423
-77.96925,34.66126,0,0.058802304,0.036539751,34.59634398
-77.9693,34.66151,0,0.028172366,0.017506308,34.61385029
-77.96932,34.66167,0,0.017884977,0.011113725,34.62496401
-77.96931,34.66205,0,0.042263969,0.026262831,34.65122684
-77.9692,34.66272,0,0.075176823,0.046714878,34.69794172
-77.96919,34.66299,0,0.030036558,0.018664717,34.71660644
-77.9692,34.66313,0,0.015594133,0.009690194,34.72629663
-77.96927,34.66349,0,0.040538893,0.025190868,34.7514875
-77.96932,34.66365,0,0.018369486,0.011414799,34.7629023
-77.97001,34.6655,0,0.215172422,0.133708143,34.89661044
-77.97005,34.66565,0,0.017075708,0.010610845,34.90722129
-77.97009,34.66595,0,0.033558468,0.020853232,34.92807452
-77.97009,34.66618,0,0.025574833,0.015892201,34.94396672
-77.97003,34.66658,0,0.044815182,0.027848154,34.97181487
-77.96766,34.67615,0,1.085982885,0.674829765,35.64664464
-77.96766,34.67616,0,0.001111949,0.000690965,35.6473356
-77.967,34.67885,0,0.305142283,0.189615415,35.83695102
-77.967,34.67906,0,0.023350935,0.014510271,35.85146129
-77.96705,34.67924,0,0.020530647,0.012757744,35.86421903
-77.96716,34.67946,0,0.026450074,0.016436076,35.88065511
-77.97659,34.6882,0,1.2992083,0.807328038,36.68798315
-77.97685,34.68852,0,0.042792729,0.026591402,36.71457455
-77.97695,34.68867,0,0.019020857,0.011819561,36.72639411
-77.9771,34.68899,0,0.038133914,0.023696414,36.75009053
-77.97731,34.68953,0,0.06304035,0.039173273,36.7892638
-77.97809,34.68931,0,0.075394374,0.046850064,36.83611386
-77.97831,34.68927,0,0.020600503,0.012801152,36.84891501
-77.97865,34.68924,0,0.031264711,0.019427891,36.86834291
-77.97879,34.68924,0,0.012800219,0.007954056,36.87629696
-77.97891,34.68925,0,0.011027818,0.006852686,36.88314965
-77.97906,34.68923,0,0.01389366,0.00863352,36.89178317
-77.9791,34.68921,0,0.00428029,0.002659772,36.89444294
-77.97915,34.68921,0,0.004571508,0.002840735,36.89728367
-77.97918,34.68923,0,0.003531183,0.002194277,36.89947795
-77.97921,34.68926,0,0.004318727,0.002683657,36.90216161
-77.97948,34.68995,0,0.080598069,0.05008364,36.95224525
-77.97952,34.69003,0,0.00961803,0.005976644,36.95822189
-77.97948,34.69005,0,0.004280259,0.002659753,36.96088165
-77.9888,34.71539,0,2.943671929,1.829197737,38.79007938
-77.98905,34.71617,0,0.089691577,0.055734346,38.84581373
-77.98931,34.71685,0,0.079258977,0.049251528,38.89506526
-77.98944,34.71724,0,0.04496434,0.027940841,38.9230061
-77.99573,34.73416,0,1.96727673,1.22246576,40.14547186
-77.99275,34.73493,0,0.285455684,0.177382162,40.32285402
-77.99568,34.74308,0,0.944958932,0.58719748,40.9100515
-77.99574,34.74328,0,0.022904745,0.014233008,40.92428451
-78.00086,34.75755,0,1.654265724,1.027960721,41.95224523
-78.00108,34.75832,0,0.087947296,0.05465045,42.00689568
-78.00128,34.75932,0,0.112685971,0.070023062,42.07691874
-78.00235,34.76757,0,0.922550569,0.573272924,42.65019166
-78.00237,34.7676,0,0.003803332,0.002363391,42.65255506
-78.00253,34.76862,0,0.114356566,0.07106117,42.72361623
